VIN,ETA,CODE,PLANT,DDA
BBA00000000000159,2021-08-01 00:16:00,G38,DD,XA
BBA00000000000017,2021-08-01 00:17:00,G28,TX,CD
BBA00000000000160,2021-08-01 00:17:00,G38,DD,XA
BBA00000000000018,2021-08-01 00:18:00,G20,TX,ZZ
BBA00000000000161,2021-08-01 00:18:00,G38,DD,XA
BBA00000000000019,2021-08-01 00:19:00,G20,TX,CD
BBA00000000000162,2021-08-01 00:19:00,G08,DD,XA
BBA00000000000020,2021-08-01 00:20:00,G28,TX,CD
BBA00000000000163,2021-08-01 00:20:00,G38,DD,ZZ
BBA00000000000021,2021-08-01 00:21:00,F39,TX,CD
BBA00000000000164,2021-08-01 00:21:00,G38,DD,CD
BBA00000000000022,2021-08-01 00:22:00,G28,TX,ZZ
BBA00000000000165,2021-08-01 00:22:00,G38,DD,ZZ
BBA00000000000023,2021-08-01 00:23:00,F49,TX,CD
BBA00000000000166,2021-08-01 00:23:00,G08,DD,CD
BBA00000000000024,2021-08-01 00:24:00,F49,TX,CD
BBA00000000000167,2021-08-01 00:24:00,G38,DD,CD
BBA00000000000025,2021-08-01 00:25:00,G28,TX,CD
BBA00000000000168,2021-08-01 00:25:00,G08,DD,XA
BBA00000000000026,2021-08-01 00:26:00,G28,TX,CD
BBA00000000000169,2021-08-01 00:26:00,G08,DD,CD
BBA00000000000027,2021-08-01 00:27:00,F39,TX,ZZ
BBA00000000000170,2021-08-01 00:27:00,G38,DD,CD
BBA00000000000028,2021-08-01 00:28:00,G28,TX,CD
BBA00000000000171,2021-08-01 00:28:00,G38,DD,CD
BBA00000000000029,2021-08-01 00:29:00,G28,TX,CD
BBA00000000000172,2021-08-01 00:29:00,G38,DD,CD
BBA00000000000030,2021-08-01 00:30:00,G28,TX,CD
BBA00000000000173,2021-08-01 00:30:00,G08,DD,ZZ
BBA00000000000031,2021-08-01 00:31:00,G28,TX,ZZ
BBA00000000000174,2021-08-01 00:31:00,G08,DD,CD
BBA00000000000032,2021-08-01 00:32:00,F49,TX,XA
BBA00000000000175,2021-08-01 00:32:00,G08,DD,CD
BBA00000000000033,2021-08-01 00:33:00,F52,TX,CD
BBA00000000000176,2021-08-01 00:33:00,G38,DD,CD
BBA00000000000034,2021-08-01 00:34:00,G20,TX,ZZ
BBA00000000000177,2021-08-01 00:34:00,G38,DD,ZZ
BBA00000000000035,2021-08-01 00:35:00,F49,TX,XA
BBA00000000000178,2021-08-01 00:35:00,G08,DD,ZZ
BBA00000000000036,2021-08-01 00:36:00,G20,TX,XA
BBA00000000000179,2021-08-01 00:36:00,G08,DD,CD
BBA00000000000037,2021-08-01 00:37:00,G28,TX,XA
BBA00000000000180,2021-08-01 00:37:00,G38,DD,CD
BBA00000000000038,2021-08-01 00:38:00,G28,TX,XA
BBA00000000000181,2021-08-01 00:38:00,G38,DD,ZZ
BBA00000000000039,2021-08-01 00:39:00,F39,TX,XA
BBA00000000000182,2021-08-01 00:39:00,G38,DD,ZZ
BBA00000000000040,2021-08-01 00:40:00,F52,TX,CD
BBA00000000000183,2021-08-01 00:40:00,G08,DD,CD
BBA00000000000041,2021-08-01 00:41:00,G20,TX,ZZ
BBA00000000000184,2021-08-01 00:41:00,G38,DD,XA
BBA00000000000042,2021-08-01 00:42:00,G20,TX,CD
BBA00000000000185,2021-08-01 00:42:00,G38,DD,ZZ
BBA00000000000043,2021-08-01 00:43:00,F52,TX,XA
BBA00000000000186,2021-08-01 00:43:00,G38,DD,CD
BBA00000000000044,2021-08-01 00:44:00,G28,TX,ZZ
BBA00000000000187,2021-08-01 00:44:00,G38,DD,XA
BBA00000000000045,2021-08-01 00:45:00,F52,TX,ZZ
BBA00000000000188,2021-08-01 00:45:00,G08,DD,CD
BBA00000000000046,2021-08-01 00:46:00,G20,TX,CD
BBA00000000000189,2021-08-01 00:46:00,G08,DD,ZZ
BBA00000000000047,2021-08-01 00:47:00,F49,TX,CD
BBA00000000000190,2021-08-01 00:47:00,G08,DD,ZZ
BBA00000000000048,2021-08-01 00:48:00,F52,TX,ZZ
BBA00000000000191,2021-08-01 00:48:00,G38,DD,ZZ
BBA00000000000049,2021-08-01 00:49:00,F49,TX,XA
BBA00000000000192,2021-08-01 00:49:00,G08,DD,ZZ
BBA00000000000050,2021-08-01 00:50:00,F49,TX,CD
BBA00000000000193,2021-08-01 00:50:00,G38,DD,CD
BBA00000000000051,2021-08-01 00:51:00,F49,TX,CD
BBA00000000000194,2021-08-01 00:51:00,G38,DD,ZZ
BBA00000000000052,2021-08-01 00:52:00,G28,TX,XA
BBA00000000000195,2021-08-01 00:52:00,G38,DD,CD
BBA00000000000053,2021-08-01 00:53:00,G28,TX,CD
BBA00000000000196,2021-08-01 00:53:00,G08,DD,CD
BBA00000000000054,2021-08-01 00:54:00,G28,TX,ZZ
BBA00000000000197,2021-08-01 00:54:00,G08,DD,CD
BBA00000000000055,2021-08-01 00:55:00,G28,TX,XA
BBA00000000000198,2021-08-01 00:55:00,G08,DD,ZZ
BBA00000000000056,2021-08-01 00:56:00,G28,TX,ZZ
BBA00000000000199,2021-08-01 00:56:00,G08,DD,CD
BBA00000000000057,2021-08-01 00:57:00,F49,TX,XA
BBA00000000000200,2021-08-01 00:57:00,G38,DD,CD
BBA00000000000058,2021-08-01 00:58:00,G28,TX,XA
BBA00000000000201,2021-08-01 00:58:00,G38,DD,ZZ
BBA00000000000059,2021-08-01 00:59:00,F39,TX,ZZ
BBA00000000000202,2021-08-01 00:59:00,G38,DD,XA
BBA00000000000060,2021-08-01 01:00:00,G28,TX,XA
BBA00000000000203,2021-08-01 01:00:00,G38,DD,ZZ
BBA00000000000061,2021-08-01 01:01:00,G28,TX,XA
BBA00000000000204,2021-08-01 01:01:00,G08,DD,ZZ
BBA00000000000062,2021-08-01 01:02:00,G28,TX,ZZ
BBA00000000000205,2021-08-01 01:02:00,G38,DD,CD
BBA00000000000063,2021-08-01 01:03:00,G28,TX,CD
BBA00000000000206,2021-08-01 01:03:00,G08,DD,ZZ
BBA00000000000064,2021-08-01 01:04:00,G28,TX,XA
BBA00000000000207,2021-08-01 01:04:00,G08,DD,CD
BBA00000000000065,2021-08-01 01:05:00,F49,TX,XA
BBA00000000000208,2021-08-01 01:05:00,G08,DD,ZZ
BBA00000000000066,2021-08-01 01:06:00,F39,TX,CD
BBA00000000000209,2021-08-01 01:06:00,G38,DD,CD
BBA00000000000067,2021-08-01 01:07:00,G28,TX,ZZ
BBA00000000000210,2021-08-01 01:07:00,G08,DD,CD
BBA00000000000068,2021-08-01 01:08:00,F52,TX,XA
BBA00000000000211,2021-08-01 01:08:00,G38,DD,CD
BBA00000000000069,2021-08-01 01:09:00,G28,TX,CD
BBA00000000000212,2021-08-01 01:09:00,G08,DD,CD
BBA00000000000070,2021-08-01 01:10:00,F39,TX,CD
BBA00000000000213,2021-08-01 01:10:00,G38,DD,CD
BBA00000000000071,2021-08-01 01:11:00,F49,TX,XA
BBA00000000000214,2021-08-01 01:11:00,G38,DD,ZZ
BBA00000000000072,2021-08-01 01:12:00,G20,TX,XA
BBA00000000000215,2021-08-01 01:12:00,G08,DD,ZZ
BBA00000000000073,2021-08-01 01:13:00,G28,TX,XA
BBA00000000000216,2021-08-01 01:13:00,G38,DD,CD
BBA00000000000074,2021-08-01 01:14:00,F49,TX,CD
BBA00000000000217,2021-08-01 01:14:00,G08,DD,CD
BBA00000000000075,2021-08-01 01:15:00,G28,TX,CD
BBA00000000000218,2021-08-01 01:15:00,G08,DD,ZZ
BBA00000000000076,2021-08-01 01:16:00,G20,TX,CD
BBA00000000000219,2021-08-01 01:16:00,G38,DD,ZZ
BBA00000000000077,2021-08-01 01:17:00,G28,TX,CD
BBA00000000000220,2021-08-01 01:17:00,G38,DD,ZZ
BBA00000000000078,2021-08-01 01:18:00,F49,TX,ZZ
BBA00000000000221,2021-08-01 01:18:00,G38,DD,CD
BBA00000000000079,2021-08-01 01:19:00,F39,TX,ZZ
BBA00000000000222,2021-08-01 01:19:00,G08,DD,CD
BBA00000000000080,2021-08-01 01:20:00,F49,TX,CD
BBA00000000000223,2021-08-01 01:20:00,G08,DD,CD
BBA00000000000081,2021-08-01 01:21:00,G28,TX,ZZ
BBA00000000000224,2021-08-01 01:21:00,G38,DD,ZZ
BBA00000000000082,2021-08-01 01:22:00,F52,TX,CD
BBA00000000000225,2021-08-01 01:22:00,G38,DD,CD
BBA00000000000083,2021-08-01 01:23:00,G20,TX,CD
BBA00000000000226,2021-08-01 01:23:00,G38,DD,CD
BBA00000000000084,2021-08-01 01:24:00,G28,TX,ZZ
BBA00000000000227,2021-08-01 01:24:00,G08,DD,CD
BBA00000000000085,2021-08-01 01:25:00,G28,TX,XA
BBA00000000000228,2021-08-01 01:25:00,G08,DD,CD
BBA00000000000086,2021-08-01 01:26:00,G28,TX,CD
BBA00000000000229,2021-08-01 01:26:00,G08,DD,CD
BBA00000000000087,2021-08-01 01:27:00,G28,TX,CD
BBA00000000000230,2021-08-01 01:27:00,G08,DD,CD
BBA00000000000088,2021-08-01 01:28:00,G28,TX,XA
BBA00000000000231,2021-08-01 01:28:00,G08,DD,ZZ
BBA00000000000089,2021-08-01 01:29:00,G28,TX,CD
BBA00000000000232,2021-08-01 01:29:00,G08,DD,XA
BBA00000000000090,2021-08-01 01:30:00,G28,TX,ZZ
BBA00000000000233,2021-08-01 01:30:00,G08,DD,CD
BBA00000000000091,2021-08-01 01:31:00,G28,TX,CD
BBA00000000000234,2021-08-01 01:31:00,G08,DD,CD
BBA00000000000092,2021-08-01 01:32:00,F49,TX,CD
BBA00000000000235,2021-08-01 01:32:00,G08,DD,CD
BBA00000000000093,2021-08-01 01:33:00,G28,TX,CD
BBA00000000000236,2021-08-01 01:33:00,G38,DD,CD
BBA00000000000094,2021-08-01 01:34:00,G20,TX,CD
BBA00000000000237,2021-08-01 01:34:00,G38,DD,ZZ
BBA00000000000095,2021-08-01 01:35:00,F49,TX,ZZ
BBA00000000000238,2021-08-01 01:35:00,G38,DD,XA
BBA00000000000096,2021-08-01 01:36:00,F49,TX,CD
BBA00000000000239,2021-08-01 01:36:00,G38,DD,XA
BBA00000000000097,2021-08-01 01:37:00,G28,TX,CD
BBA00000000000240,2021-08-01 01:37:00,G08,DD,ZZ
BBA00000000000098,2021-08-01 01:38:00,F52,TX,ZZ
BBA00000000000241,2021-08-01 01:38:00,G08,DD,CD
BBA00000000000099,2021-08-01 01:39:00,G28,TX,CD
BBA00000000000242,2021-08-01 01:39:00,G38,DD,CD
BBA00000000000100,2021-08-01 01:40:00,G28,TX,ZZ
BBA00000000000243,2021-08-01 01:40:00,G08,DD,CD
BBA00000000000101,2021-08-01 01:41:00,G28,TX,ZZ
BBA00000000000244,2021-08-01 01:41:00,G08,DD,CD
BBA00000000000102,2021-08-01 01:42:00,G28,TX,ZZ
BBA00000000000245,2021-08-01 01:42:00,G38,DD,XA
BBA00000000000103,2021-08-01 01:43:00,F49,TX,ZZ
BBA00000000000246,2021-08-01 01:43:00,G08,DD,ZZ
BBA00000000000104,2021-08-01 01:44:00,F49,TX,XA
BBA00000000000247,2021-08-01 01:44:00,G08,DD,XA
BBA00000000000105,2021-08-01 01:45:00,F39,TX,CD
BBA00000000000248,2021-08-01 01:45:00,G08,DD,CD
BBA00000000000106,2021-08-01 01:46:00,G28,TX,CD
BBA00000000000249,2021-08-01 01:46:00,G38,DD,CD
BBA00000000000107,2021-08-01 01:47:00,F49,TX,CD
BBA00000000000250,2021-08-01 01:47:00,G08,DD,XA
BBA00000000000108,2021-08-01 01:48:00,F52,TX,CD
BBA00000000000251,2021-08-01 01:48:00,G38,DD,CD
BBA00000000000109,2021-08-01 01:49:00,F39,TX,CD
BBA00000000000252,2021-08-01 01:49:00,G38,DD,CD
BBA00000000000110,2021-08-01 01:50:00,F49,TX,CD
BBA00000000000253,2021-08-01 01:50:00,G08,DD,CD
BBA00000000000111,2021-08-01 01:51:00,G28,TX,ZZ
BBA00000000000254,2021-08-01 01:51:00,G38,DD,CD
BBA00000000000112,2021-08-01 01:52:00,F52,TX,ZZ
BBA00000000000255,2021-08-01 01:52:00,G08,DD,CD
BBA00000000000113,2021-08-01 01:53:00,G28,TX,ZZ
BBA00000000000256,2021-08-01 01:53:00,G08,DD,ZZ
BBA00000000000114,2021-08-01 01:54:00,F49,TX,CD
BBA00000000000257,2021-08-01 01:54:00,G08,DD,CD
BBA00000000000115,2021-08-01 01:55:00,G28,TX,CD
BBA00000000000258,2021-08-01 01:55:00,G38,DD,ZZ
BBA00000000000116,2021-08-01 01:56:00,F49,TX,ZZ
BBA00000000000259,2021-08-01 01:56:00,G38,DD,CD
BBA00000000000117,2021-08-01 01:57:00,F49,TX,CD
BBA00000000000260,2021-08-01 01:57:00,G08,DD,CD
BBA00000000000118,2021-08-01 01:58:00,F49,TX,CD
BBA00000000000261,2021-08-01 01:58:00,G38,DD,ZZ
BBA00000000000119,2021-08-01 01:59:00,F49,TX,XA
BBA00000000000262,2021-08-01 01:59:00,G08,DD,CD
BBA00000000000120,2021-08-01 02:00:00,F52,TX,ZZ
BBA00000000000263,2021-08-01 02:00:00,G38,DD,CD
BBA00000000000121,2021-08-01 02:01:00,F49,TX,ZZ
BBA00000000000264,2021-08-01 02:01:00,G38,DD,ZZ
BBA00000000000122,2021-08-01 02:02:00,G20,TX,ZZ
BBA00000000000265,2021-08-01 02:02:00,G08,DD,CD
BBA00000000000123,2021-08-01 02:03:00,F49,TX,CD
BBA00000000000266,2021-08-01 02:03:00,G08,DD,XA
BBA00000000000124,2021-08-01 02:04:00,G28,TX,XA
BBA00000000000267,2021-08-01 02:04:00,G38,DD,ZZ
BBA00000000000125,2021-08-01 02:05:00,F49,TX,CD
BBA00000000000268,2021-08-01 02:05:00,G08,DD,ZZ
BBA00000000000126,2021-08-01 02:06:00,G28,TX,CD
BBA00000000000269,2021-08-01 02:06:00,G08,DD,XA
BBA00000000000127,2021-08-01 02:07:00,F49,TX,XA
BBA00000000000270,2021-08-01 02:07:00,G08,DD,CD
BBA00000000000128,2021-08-01 02:08:00,G20,TX,ZZ
BBA00000000000271,2021-08-01 02:08:00,G08,DD,CD
BBA00000000000129,2021-08-01 02:09:00,G28,TX,XA
BBA00000000000272,2021-08-01 02:09:00,G08,DD,ZZ
BBA00000000000130,2021-08-01 02:10:00,G28,TX,CD
BBA00000000000273,2021-08-01 02:10:00,G08,DD,CD
BBA00000000000131,2021-08-01 02:11:00,F49,TX,CD
BBA00000000000274,2021-08-01 02:11:00,G08,DD,CD
BBA00000000000132,2021-08-01 02:12:00,F49,TX,CD
BBA00000000000275,2021-08-01 02:12:00,G08,DD,CD
BBA00000000000133,2021-08-01 02:13:00,G28,TX,XA
BBA00000000000276,2021-08-01 02:13:00,G08,DD,CD
BBA00000000000134,2021-08-01 02:14:00,G20,TX,CD
BBA00000000000277,2021-08-01 02:14:00,G08,DD,CD
BBA00000000000135,2021-08-01 02:15:00,G28,TX,CD
BBA00000000000278,2021-08-01 02:15:00,G38,DD,CD
BBA00000000000136,2021-08-01 02:16:00,F49,TX,ZZ
BBA00000000000279,2021-08-01 02:16:00,G38,DD,CD
BBA00000000000137,2021-08-01 02:17:00,G28,TX,CD
BBA00000000000280,2021-08-01 02:17:00,G08,DD,ZZ
BBA00000000000138,2021-08-01 02:18:00,G20,TX,CD
BBA00000000000281,2021-08-01 02:18:00,G38,DD,CD
BBA00000000000139,2021-08-01 02:19:00,G28,TX,CD
BBA00000000000282,2021-08-01 02:19:00,G38,DD,CD
BBA00000000000140,2021-08-01 02:20:00,G20,TX,CD
BBA00000000000283,2021-08-01 02:20:00,G38,DD,CD
BBA00000000000141,2021-08-01 02:21:00,G28,TX,XA
BBA00000000000284,2021-08-01 02:21:00,G38,DD,CD
BBA00000000000142,2021-08-01 02:22:00,G28,TX,ZZ
BBA00000000000285,2021-08-01 02:22:00,G08,DD,ZZ
BBA00000000000143,2021-08-01 02:23:00,F49,TX,ZZ
BBA00000000000286,2021-08-01 02:23:00,G08,DD,ZZ
BBA00000000000287,2021-08-01 02:24:00,G08,DD,CD
BBA00000000000323,2021-08-01 02:24:00,G28,TX,CD
BBA00000000000288,2021-08-01 02:25:00,G38,DD,CD
BBA00000000000324,2021-08-01 02:25:00,G20,TX,ZZ
BBA00000000000289,2021-08-01 02:26:00,G38,DD,CD
BBA00000000000325,2021-08-01 02:26:00,F52,TX,CD
BBA00000000000290,2021-08-01 02:27:00,G08,DD,ZZ
BBA00000000000326,2021-08-01 02:27:00,G28,TX,XA
BBA00000000000291,2021-08-01 02:28:00,G08,DD,ZZ
BBA00000000000327,2021-08-01 02:28:00,G20,TX,CD
BBA00000000000292,2021-08-01 02:29:00,G08,DD,ZZ
BBA00000000000328,2021-08-01 02:29:00,G28,TX,CD
BBA00000000000293,2021-08-01 02:30:00,G38,DD,CD
BBA00000000000329,2021-08-01 02:30:00,G28,TX,CD
BBA00000000000294,2021-08-01 02:31:00,G08,DD,CD
BBA00000000000330,2021-08-01 02:31:00,F49,TX,ZZ
BBA00000000000295,2021-08-01 02:32:00,G38,DD,CD
BBA00000000000331,2021-08-01 02:32:00,F49,TX,CD
BBA00000000000296,2021-08-01 02:33:00,G08,DD,CD
BBA00000000000332,2021-08-01 02:33:00,G28,TX,CD
BBA00000000000297,2021-08-01 02:34:00,G08,DD,CD
BBA00000000000333,2021-08-01 02:34:00,F49,TX,XA
BBA00000000000298,2021-08-01 02:35:00,G38,DD,CD
BBA00000000000334,2021-08-01 02:35:00,G28,TX,ZZ
BBA00000000000299,2021-08-01 02:36:00,G38,DD,ZZ
BBA00000000000335,2021-08-01 02:36:00,F49,TX,ZZ
BBA00000000000300,2021-08-01 02:37:00,G08,DD,ZZ
BBA00000000000336,2021-08-01 02:37:00,F49,TX,XA
BBA00000000000301,2021-08-01 02:38:00,G08,DD,CD
BBA00000000000337,2021-08-01 02:38:00,F52,TX,CD
BBA00000000000302,2021-08-01 02:39:00,G08,DD,CD
BBA00000000000338,2021-08-01 02:39:00,F49,TX,CD
BBA00000000000303,2021-08-01 02:40:00,G08,DD,ZZ
BBA00000000000339,2021-08-01 02:40:00,F52,TX,XA
BBA00000000000304,2021-08-01 02:41:00,G38,DD,ZZ
BBA00000000000340,2021-08-01 02:41:00,F52,TX,XA
BBA00000000000305,2021-08-01 02:42:00,G38,DD,XA
BBA00000000000341,2021-08-01 02:42:00,G20,TX,XA
BBA00000000000306,2021-08-01 02:43:00,G38,DD,ZZ
BBA00000000000342,2021-08-01 02:43:00,G28,TX,ZZ
BBA00000000000307,2021-08-01 02:44:00,G38,DD,ZZ
BBA00000000000343,2021-08-01 02:44:00,G28,TX,CD
BBA00000000000308,2021-08-01 02:45:00,G38,DD,CD
BBA00000000000344,2021-08-01 02:45:00,F52,TX,CD
BBA00000000000309,2021-08-01 02:46:00,G08,DD,CD
BBA00000000000345,2021-08-01 02:46:00,F52,TX,ZZ
BBA00000000000310,2021-08-01 02:47:00,G38,DD,XA
BBA00000000000346,2021-08-01 02:47:00,G28,TX,CD
BBA00000000000311,2021-08-01 02:48:00,G38,DD,XA
BBA00000000000347,2021-08-01 02:48:00,G28,TX,XA
BBA00000000000312,2021-08-01 02:49:00,G08,DD,CD
BBA00000000000348,2021-08-01 02:49:00,F49,TX,XA
BBA00000000000313,2021-08-01 02:50:00,G08,DD,CD
BBA00000000000349,2021-08-01 02:50:00,G28,TX,CD
BBA00000000000314,2021-08-01 02:51:00,G38,DD,CD
BBA00000000000350,2021-08-01 02:51:00,G28,TX,ZZ
BBA00000000000315,2021-08-01 02:52:00,G38,DD,CD
BBA00000000000351,2021-08-01 02:52:00,F49,TX,ZZ
BBA00000000000316,2021-08-01 02:53:00,G38,DD,CD
BBA00000000000352,2021-08-01 02:53:00,F49,TX,ZZ
BBA00000000000317,2021-08-01 02:54:00,G38,DD,XA
BBA00000000000353,2021-08-01 02:54:00,G28,TX,XA
BBA00000000000318,2021-08-01 02:55:00,G38,DD,XA
BBA00000000000354,2021-08-01 02:55:00,F52,TX,ZZ
BBA00000000000319,2021-08-01 02:56:00,G08,DD,CD
BBA00000000000355,2021-08-01 02:56:00,G28,TX,CD
BBA00000000000320,2021-08-01 02:57:00,G08,DD,CD
BBA00000000000356,2021-08-01 02:57:00,G20,TX,CD
BBA00000000000321,2021-08-01 02:58:00,G38,DD,XA
BBA00000000000357,2021-08-01 02:58:00,G28,TX,ZZ
BBA00000000000322,2021-08-01 02:59:00,G08,DD,CD
BBA00000000000358,2021-08-01 02:59:00,F52,TX,XA
BBA00000000000359,2021-08-01 03:00:00,G20,TX,CD
BBA00000000000451,2021-08-01 03:00:00,G38,DD,XA
BBA00000000000360,2021-08-01 03:01:00,F39,TX,CD
BBA00000000000452,2021-08-01 03:01:00,G08,DD,XA
BBA00000000000361,2021-08-01 03:02:00,G28,TX,XA
BBA00000000000453,2021-08-01 03:02:00,G08,DD,ZZ
BBA00000000000362,2021-08-01 03:03:00,F49,TX,ZZ
BBA00000000000454,2021-08-01 03:03:00,G08,DD,XA
BBA00000000000363,2021-08-01 03:04:00,G28,TX,XA
BBA00000000000455,2021-08-01 03:04:00,G08,DD,ZZ
BBA00000000000364,2021-08-01 03:05:00,F49,TX,XA
BBA00000000000456,2021-08-01 03:05:00,G08,DD,XA
BBA00000000000365,2021-08-01 03:06:00,F49,TX,CD
BBA00000000000457,2021-08-01 03:06:00,G08,DD,XA
BBA00000000000366,2021-08-01 03:07:00,F52,TX,CD
BBA00000000000458,2021-08-01 03:07:00,G38,DD,CD
BBA00000000000367,2021-08-01 03:08:00,G28,TX,ZZ
BBA00000000000459,2021-08-01 03:08:00,G38,DD,XA
BBA00000000000368,2021-08-01 03:09:00,G28,TX,CD
BBA00000000000460,2021-08-01 03:09:00,G08,DD,XA
BBA00000000000369,2021-08-01 03:10:00,F49,TX,ZZ
BBA00000000000461,2021-08-01 03:10:00,G38,DD,ZZ
BBA00000000000370,2021-08-01 03:11:00,F39,TX,CD
BBA00000000000462,2021-08-01 03:11:00,G38,DD,ZZ
BBA00000000000371,2021-08-01 03:12:00,F52,TX,CD
BBA00000000000463,2021-08-01 03:12:00,G38,DD,ZZ
BBA00000000000372,2021-08-01 03:13:00,G20,TX,XA
BBA00000000000464,2021-08-01 03:13:00,G08,DD,CD
BBA00000000000373,2021-08-01 03:14:00,F49,TX,ZZ
BBA00000000000465,2021-08-01 03:14:00,G38,DD,XA
BBA00000000000374,2021-08-01 03:15:00,F52,TX,ZZ
BBA00000000000466,2021-08-01 03:15:00,G38,DD,XA
BBA00000000000375,2021-08-01 03:16:00,G28,TX,CD
BBA00000000000467,2021-08-01 03:16:00,G38,DD,CD
BBA00000000000376,2021-08-01 03:17:00,G28,TX,CD
BBA00000000000468,2021-08-01 03:17:00,G08,DD,XA
BBA00000000000377,2021-08-01 03:18:00,G20,TX,ZZ
BBA00000000000469,2021-08-01 03:18:00,G38,DD,XA
BBA00000000000378,2021-08-01 03:19:00,F49,TX,XA
BBA00000000000470,2021-08-01 03:19:00,G38,DD,ZZ
BBA00000000000379,2021-08-01 03:20:00,G28,TX,XA
BBA00000000000471,2021-08-01 03:20:00,G38,DD,XA
BBA00000000000380,2021-08-01 03:21:00,F49,TX,XA
BBA00000000000472,2021-08-01 03:21:00,G08,DD,XA
BBA00000000000381,2021-08-01 03:22:00,G20,TX,CD
BBA00000000000473,2021-08-01 03:22:00,G38,DD,ZZ
BBA00000000000382,2021-08-01 03:23:00,F49,TX,XA
BBA00000000000474,2021-08-01 03:23:00,G08,DD,CD
BBA00000000000383,2021-08-01 03:24:00,G28,TX,ZZ
BBA00000000000475,2021-08-01 03:24:00,G38,DD,ZZ
BBA00000000000384,2021-08-01 03:25:00,F49,TX,ZZ
BBA00000000000476,2021-08-01 03:25:00,G08,DD,XA
BBA00000000000385,2021-08-01 03:26:00,G28,TX,ZZ
BBA00000000000477,2021-08-01 03:26:00,G08,DD,XA
BBA00000000000386,2021-08-01 03:27:00,G28,TX,ZZ
BBA00000000000478,2021-08-01 03:27:00,G08,DD,XA
BBA00000000000387,2021-08-01 03:28:00,F52,TX,ZZ
BBA00000000000479,2021-08-01 03:28:00,G08,DD,ZZ
BBA00000000000388,2021-08-01 03:29:00,F49,TX,ZZ
BBA00000000000480,2021-08-01 03:29:00,G38,DD,ZZ
BBA00000000000389,2021-08-01 03:30:00,F49,TX,CD
BBA00000000000481,2021-08-01 03:30:00,G08,DD,XA
BBA00000000000390,2021-08-01 03:31:00,F52,TX,XA
BBA00000000000482,2021-08-01 03:31:00,G38,DD,CD
BBA00000000000391,2021-08-01 03:32:00,F39,TX,XA
BBA00000000000483,2021-08-01 03:32:00,G08,DD,ZZ
BBA00000000000392,2021-08-01 03:33:00,F49,TX,ZZ
BBA00000000000484,2021-08-01 03:33:00,G08,DD,CD
BBA00000000000393,2021-08-01 03:34:00,F52,TX,ZZ
BBA00000000000485,2021-08-01 03:34:00,G08,DD,XA
BBA00000000000394,2021-08-01 03:35:00,F49,TX,XA
BBA00000000000486,2021-08-01 03:35:00,G38,DD,CD
BBA00000000000395,2021-08-01 03:36:00,G28,TX,XA
BBA00000000000487,2021-08-01 03:36:00,G08,DD,XA
BBA00000000000396,2021-08-01 03:37:00,G28,TX,XA
BBA00000000000488,2021-08-01 03:37:00,G08,DD,XA
BBA00000000000397,2021-08-01 03:38:00,F49,TX,ZZ
BBA00000000000489,2021-08-01 03:38:00,G08,DD,ZZ
BBA00000000000398,2021-08-01 03:39:00,G28,TX,ZZ
BBA00000000000490,2021-08-01 03:39:00,G38,DD,XA
BBA00000000000399,2021-08-01 03:40:00,G28,TX,XA
BBA00000000000491,2021-08-01 03:40:00,G08,DD,ZZ
BBA00000000000400,2021-08-01 03:41:00,G20,TX,ZZ
